	#node1	node2
340	STAT4	TYK2
341	JAK2	JAK1
342	JAK2	IL27
343	IL27	STAT2
344	JAK2	EBI3
345	JAK2	IL27RA
346	STAT1	EBI3
347	TYK2	EBI3
348	TYK2	IL27RA
349	STAT4	IL6ST
350	JAK1	EBI3
351	IL6ST	STAT2
352	IL27	STAT5A
353	STAT4	IL27
354	STAT5A	IL6ST
355	IL6ST	EBI3
356	STAT2	IL27RA
357	STAT1	IL27
358	STAT5A	EBI3
359	IL27	TYK2
360	STAT4	IL27RA
361	STAT2	EBI3
362	STAT4	EBI3
363	STAT5A	IL27RA
364	IL6ST	IL27RA
365	IL27	JAK1
366	JAK2	TYK2
367	STAT4	JAK1
368	STAT1	STAT4
369	STAT4	STAT2
370	STAT5A	STAT2
371	STAT4	STAT5A
372	IL2RG	IL2
373	IL2RG	IL2RB
374	IL2	IL2RB
375	IL2RA	IL2RB
376	IL2RA	IL2
377	NFATC2	FOXP3
378	IL2RA	IL2RG
379	STAT5A	STAT3
380	GZMB	IL2RB
381	STAT5B	STAT3
382	FOXP3	IL2
383	STAT5A	STAT5B
384	NFATC2	IL2
385	IL2RA	STAT5A
386	IL2RA	STAT5B
387	NFATC1	IL2
388	STAT3	IL2RB
389	IL2RA	STAT3
390	STAT5B	IL2RB
391	STAT5A	IL2RB
392	IL2RG	STAT5A
393	IL2RA	FOXP3
394	NFATC2	NFATC1
395	NFATC2	IL2RA
396	IL2RA	NFATC1
397	IL2RA	GZMB
398	IL2RG	STAT3
399	IL2RG	STAT5B
400	STAT3	IL2
401	IL2RG	GZMB
402	STAT5B	IL2
403	STAT5A	IL2
404	IL2	GZMB
405	FOXP3	IL2RG
406	FOXP3	NFATC1
407	CUL1	RBX1
408	CUL3	RBX1
409	CUL2	RBX1
410	CUL1	FBXW11
411	BTRC	CUL1
412	CUL5	RBX1
413	KLHL2	CUL3
414	UBC	FBXW11
415	BTRC	FBXW11
416	UBC	CUL3
417	UBC	CUL1
418	CUL2	UBC
419	CUL3	KEAP1
420	CUL1	CUL3
421	CUL2	KEAP1
422	BTRC	UBC
423	CUL5	UBC
