	#node1	node2
250	JAK2	STAT3
251	IL12B	IL23A
252	IL12RB1	IL12B
253	IL23R	IL12B
254	RELA	IL12B
255	IL23R	IL23A
256	IL12RB1	IL23R
257	IL23R	STAT3
258	IL12RB1	IL23A
259	JAK2	IL23R
260	RELA	JAK2
261	IL12RB1	STAT3
262	CXCL9	IL12B
263	IL12RB1	CD3E
264	IL12RB1	JAK2
265	IL24	IL23R
266	JAK2	CD3E
267	JAK2	CXCL9
268	JAK2	IL23A
269	CXCL9	IL23R
270	STAT3	IL12B
271	JAK2	IL12B
272	IL12RB1	RELA
273	CXCL1	IL23A
274	CD3E	IL23R
275	STAT3	IL23A
276	RELA	IL23R
277	RELA	IL23A
278	CD3E	IL23A
279	IL12RB1	CXCL1
280	CD3E	IL12B
281	CXCL1	IL23R
282	IL12RB1	IL24
283	CXCL9	IL23A
284	IL12RB1	CXCL9
285	IL24	IL12B
286	IL24	IL23A
287	IL24	JAK2
288	CXCL1	IL12B
289	CXCL1	CXCL9
290	CXCL1	JAK2
291	RELA	STAT3
292	STAT1	STAT2
293	JAK2	STAT5A
294	JAK1	STAT5A
295	STAT1	STAT5A
296	JAK2	STAT2
297	JAK2	STAT1
298	JAK1	STAT2
299	STAT5A	TYK2
300	STAT2	TYK2
301	IL27	EBI3
302	STAT1	JAK1
303	STAT1	TYK2
304	JAK1	IL6ST
305	JAK1	IL27RA
306	STAT1	IL6ST
307	STAT1	IL27RA
308	JAK1	TYK2
309	IL27	IL27RA
310	JAK2	IL6ST
311	IL6ST	TYK2
312	IL27RA	EBI3
313	IL27	IL6ST
314	JAK2	STAT4
315	STAT4	TYK2
316	JAK2	JAK1
317	JAK2	IL27
318	IL27	STAT2
319	JAK2	EBI3
320	JAK2	IL27RA
321	STAT1	EBI3
322	TYK2	EBI3
323	TYK2	IL27RA
324	STAT4	IL6ST
325	JAK1	EBI3
326	IL6ST	STAT2
327	IL27	STAT5A
328	STAT4	IL27
329	STAT5A	IL6ST
330	IL6ST	EBI3
331	STAT2	IL27RA
332	STAT1	IL27
333	STAT5A	EBI3
334	IL27	TYK2
335	STAT4	IL27RA
336	STAT2	EBI3
337	STAT4	EBI3
338	STAT5A	IL27RA
339	IL6ST	IL27RA
340	IL27	JAK1
341	JAK2	TYK2
342	STAT4	JAK1
343	STAT1	STAT4
344	STAT4	STAT2
